#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:17:09 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	41.81	0.501	26.17
0.752	41.81	1.002	26.07
1.253	41.69	1.503	26.17
1.753	41.69	2.003	26.28
2.253	41.69	2.504	26.17
2.754	41.69	3.005	26.28
3.255	41.56	3.506	26.28
3.755	41.69	4.006	26.17
4.256	41.56	4.507	26.17
4.757	41.81	5.008	26.28
5.258	41.69	5.509	26.17
5.758	41.69	6.009	26.28
6.259	41.69	6.510	26.28
6.760	41.56	7.011	26.17
7.261	41.56	7.511	26.28
7.761	41.69	8.011	26.17
8.262	41.56	8.512	26.17
8.763	41.69	9.013	26.28
9.264	41.81	9.513	26.07
9.764	41.69	10.014	26.17
10.265	41.56	10.515	26.28
10.766	41.56	11.016	26.17
11.267	41.69	11.516	26.28
11.767	41.56	12.017	26.28
12.268	41.56	12.518	26.28
12.769	41.69	13.019	26.17
13.269	41.56	13.519	26.28
13.770	41.56	14.020	26.38
14.271	41.69	14.521	26.28
14.771	41.56	15.022	26.28
15.271	41.56	15.522	26.28
15.772	41.56	16.023	26.28
16.273	41.56	16.524	26.17
16.774	41.69	17.024	26.28
17.274	41.56	17.525	26.28
17.775	41.69	18.026	26.28
18.276	41.69	18.527	26.28
18.777	41.81	19.027	26.28
19.277	41.69	19.528	26.38
19.778	41.69	20.029	26.28
20.279	41.69	20.530	26.28
20.779	41.81	21.029	26.28
21.280	41.69	21.530	26.38
21.781	41.69	22.031	26.38
22.282	41.94	22.532	26.28
22.782	41.81	23.032	26.28
23.283	41.94	23.533	26.28
23.784	41.94	24.034	26.28
