#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	41.81	0.501	33.19
0.752	41.69	1.002	33.19
1.252	41.69	1.502	33.07
1.753	41.81	2.003	33.30
2.254	41.69	2.504	33.19
2.754	41.69	3.004	33.19
3.254	41.56	3.505	33.19
3.755	41.69	4.006	33.19
4.256	41.69	4.507	33.19
4.757	41.81	5.007	33.19
5.257	41.81	5.508	33.19
5.758	41.81	6.009	33.07
6.259	41.81	6.510	33.30
6.759	41.69	7.010	33.30
7.260	41.94	7.511	33.19
7.761	41.81	8.012	33.30
8.262	41.81	8.512	33.19
8.762	41.94	9.012	33.30
9.263	41.81	9.513	33.30
9.764	41.94	10.014	33.30
10.265	41.81	10.515	33.19
10.765	41.81	11.015	33.19
11.266	41.69	11.516	33.30
11.767	41.94	12.017	33.30
12.268	41.94	12.517	33.30
12.768	41.81	13.018	33.30
13.269	41.81	13.519	33.19
13.770	41.94	14.020	33.30
14.271	41.94	14.520	33.19
14.770	41.94	15.021	33.19
15.271	41.94	15.522	33.30
15.772	41.94	16.023	33.30
16.272	41.94	16.523	33.19
16.773	41.94	17.024	33.19
17.274	41.94	17.525	33.30
17.775	41.81	18.026	33.19
18.275	41.94	18.526	33.19
18.776	41.94	19.027	33.30
19.277	42.06	19.528	33.19
19.778	42.06	20.028	33.19
