#Creator: tempmonitorEventBuffer
#Creation time: Mon Nov 21 00:08:11 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.251	33.89	0.500	34.76
0.750	33.89	1.001	34.76
1.251	33.78	1.502	34.76
1.752	33.89	2.003	34.76
2.252	33.78	2.503	34.87
2.753	33.89	3.004	34.76
3.254	33.78	3.505	34.87
3.755	33.89	4.006	34.65
4.255	33.89	4.506	34.76
4.756	33.89	5.007	34.65
5.257	33.89	5.508	34.76
5.758	33.89	6.008	34.65
6.258	33.89	6.508	34.76
6.759	33.78	7.009	34.76
7.260	33.89	7.510	34.76
7.761	33.78	8.010	34.87
8.261	33.78	8.511	34.99
8.762	33.89	9.012	34.76
9.263	33.89	9.513	34.87
9.763	34.00	10.013	34.76
10.264	33.89	10.514	34.99
10.765	33.89	11.015	34.87
11.266	34.00	11.516	34.99
11.766	33.89	12.016	34.99
12.266	33.89	12.517	34.99
12.767	33.89	13.018	34.99
13.268	34.00	13.518	34.99
13.768	33.89	14.019	34.87
14.269	34.00	14.520	34.99
14.770	34.11	15.021	34.99
15.271	34.00	15.521	34.99
15.771	34.00	16.022	34.87
16.272	34.00	16.523	34.99
16.773	33.89	17.024	34.99
17.273	33.89	17.524	34.99
17.774	33.89	18.025	34.99
18.275	34.00	18.525	34.99
18.776	34.00	19.026	34.87
19.276	34.00	19.526	34.99
19.777	34.00	20.027	34.87
20.278	33.89	20.528	34.99
20.779	33.89	21.029	34.99
21.279	33.89	21.529	34.99
21.780	34.00	22.030	34.99
22.281	33.89	22.531	34.99
22.782	33.89	23.031	34.87
23.282	34.00	23.532	34.87
