#Creator: tempmonitorEventBuffer
#Creation time: Sun Nov 20 23:31:37 2005
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
0.249	31.39	0.500	23.78
0.750	31.28	1.001	23.88
1.251	31.28	1.502	23.88
1.752	31.28	2.003	23.78
2.252	31.28	2.503	23.78
2.753	31.28	3.004	23.88
3.254	31.07	3.505	23.88
3.755	31.07	4.005	23.78
4.255	31.07	4.506	23.78
4.756	31.07	5.007	23.78
5.257	30.96	5.508	23.78
5.758	30.85	6.007	23.78
6.258	30.85	6.508	23.78
6.759	30.96	7.009	23.88
7.260	30.75	7.510	23.88
7.760	30.75	8.010	23.88
8.261	30.75	8.511	23.78
8.762	30.64	9.012	23.98
9.263	30.53	9.513	23.78
9.763	30.53	10.013	23.78
10.264	30.64	10.514	23.88
10.765	30.43	11.015	23.88
11.266	30.43	11.515	23.88
11.766	30.43	12.016	23.78
12.266	30.32	12.517	23.88
12.767	30.32	13.018	23.98
13.268	30.32	13.518	23.88
13.768	30.32	14.019	23.78
14.269	30.32	14.520	23.88
14.770	30.11	15.021	23.88
15.270	30.11	15.521	23.98
15.771	30.22	16.022	23.78
16.272	30.22	16.523	23.78
16.773	30.11	17.024	23.88
17.273	30.11	17.524	23.98
17.774	30.01	18.025	23.78
18.275	30.11	18.525	23.88
18.776	30.11	19.025	23.88
19.276	30.01	19.526	23.98
19.777	30.11	20.027	23.78
20.278	30.11	20.528	23.78
