#Creator: pendulumEventBuffer
#Creation time: Tue Jan  1 01:30:49 2013
#Time	Period	Transit time
#[s]	[s]	[s]
3.315733	2.205402	0.007106
4.418231	2.204570	0.007138
5.520303	2.203709	0.007166
6.621940	2.202857	0.007192
7.723160	2.202030	0.007220
8.823970	2.201204	0.007252
9.924364	2.200381	0.007280
11.024351	2.199568	0.007306
12.123932	2.198764	0.007336
13.223115	2.197970	0.007366
14.321902	2.197180	0.007396
15.420295	2.196407	0.007426
16.518309	2.195650	0.007454
17.615945	2.194896	0.007482
18.713205	2.194150	0.007510
19.810095	2.193417	0.007538
20.906622	2.192697	0.007568
22.002792	2.191981	0.007596
23.098603	2.191268	0.007622
24.194060	2.190567	0.007652
25.289170	2.189878	0.007684
26.383938	2.189199	0.007716
27.478369	2.188529	0.007746
28.572467	2.187860	0.007774
29.666229	2.187194	0.007802
30.759661	2.186535	0.007830
31.852764	2.185886	0.007860
32.945547	2.185256	0.007890
34.038020	2.184629	0.007920
35.130176	2.183995	0.007948
36.222015	2.183370	0.007978
37.313546	2.182757	0.008008
38.404772	2.182152	0.008036
39.495698	2.181547	0.008068
40.586319	2.180945	0.008098
41.676643	2.180366	0.008126
42.766685	2.179789	0.008154
43.856432	2.179218	0.008184
44.945903	2.178658	0.008214
46.035090	2.178103	0.008244
47.124006	2.177554	0.008276
48.212644	2.176993	0.008308
49.300999	2.176451	0.008338
50.389095	2.175912	0.008366
51.476911	2.175373	0.008394
52.564468	2.174855	0.008424
53.651766	2.174330	0.008456
54.738798	2.173812	0.008484
55.825578	2.173304	0.008512
56.912102	2.172796	0.008544
57.998374	2.172296	0.008576
59.084398	2.171805	0.008608
60.170179	2.171318	0.008638
61.255716	2.170838	0.008668
62.341017	2.170358	0.008698
63.426074	2.169887	0.008728
64.510904	2.169417	0.008760
65.595491	2.168941	0.008790
66.679845	2.168473	0.008818
67.763964	2.168018	0.008848
68.847863	2.167584	0.008882
69.931548	2.167132	0.008916
71.014995	2.166672	0.008946
72.098220	2.166234	0.008976
73.181229	2.165803	0.009006
74.264023	2.165373	0.009038
