#Creator: pendulumEventBuffer
#Creation time: Tue Jan  1 01:30:49 2013
#Time	Period	Transit time
#[s]	[s]	[s]
2.532171	2.195174	0.007510
3.629557	2.194361	0.007542
4.726532	2.193551	0.007576
5.823108	2.192746	0.007608
6.919278	2.191953	0.007640
8.015061	2.191169	0.007674
9.110447	2.190388	0.007706
10.205449	2.189621	0.007738
11.300068	2.188867	0.007772
12.394316	2.188118	0.007804
13.488186	2.187379	0.007836
14.581695	2.186655	0.007870
15.674841	2.185946	0.007902
16.767641	2.185244	0.007934
17.860085	2.184542	0.007966
18.952183	2.183837	0.007998
20.043922	2.183146	0.008032
21.135329	2.182482	0.008066
22.226404	2.181826	0.008100
23.317155	2.181171	0.008134
24.407575	2.180509	0.008166
25.497664	2.179879	0.008200
26.587454	2.179276	0.008232
27.676940	2.178640	0.008264
28.766094	2.178008	0.008300
29.854948	2.177388	0.008332
30.943482	2.176775	0.008364
32.031723	2.176183	0.008398
33.119665	2.175584	0.008430
34.207307	2.175015	0.008462
35.294680	2.174456	0.008496
36.381763	2.173868	0.008530
37.468548	2.173294	0.008564
38.555057	2.172736	0.008598
39.641284	2.172185	0.008632
40.727242	2.171642	0.008668
41.812926	2.171109	0.008700
42.898351	2.170575	0.008730
43.983501	2.170043	0.008766
45.068394	2.169516	0.008804
46.153017	2.169002	0.008838
47.237396	2.168506	0.008872
48.321523	2.168010	0.008906
49.405406	2.167518	0.008940
50.489041	2.167028	0.008974
51.572434	2.166545	0.009008
52.655586	2.166069	0.009040
53.738503	2.165582	0.009074
54.821168	2.165104	0.009112
55.903607	2.164652	0.009146
56.985820	2.164207	0.009180
58.067814	2.163751	0.009216
59.149571	2.163294	0.009250
60.231108	2.162842	0.009284
61.312413	2.162397	0.009318
62.393505	2.161958	0.009354
63.474371	2.161521	0.009390
64.555026	2.161094	0.009424
65.635465	2.160674	0.009458
66.715700	2.160257	0.009492
67.795722	2.159840	0.009528
68.875540	2.159428	0.009564
69.955150	2.159023	0.009600
71.034563	2.158622	0.009638
72.113772	2.158228	0.009672
73.192791	2.157836	0.009706
74.271608	2.157445	0.009740
75.350236	2.157061	0.009776
76.428669	2.156683	0.009814
77.506919	2.156308	0.009850
78.584977	2.155937	0.009886
79.662856	2.155572	0.009920
80.740549	2.155209	0.009954
81.818065	2.154838	0.009990
82.895387	2.154470	0.010026
83.972535	2.154115	0.010062
85.049502	2.153764	0.010100
86.126299	2.153410	0.010138
87.202912	2.153061	0.010172
88.279360	2.152726	0.010204
89.355638	2.152393	0.010240
90.431753	2.152050	0.010278
91.507688	2.151708	0.010316
92.583461	2.151384	0.010354
93.659072	2.151067	0.010388
94.734528	2.150732	0.010424
95.809804	2.150397	0.010464
96.884925	2.150092	0.010502
97.959896	2.149789	0.010536
