#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	500	0.051	610
0.076	498	0.101	587
0.127	499	0.153	560
0.177	499	0.203	532
0.228	500	0.254	505
0.279	499	0.304	477
0.330	500	0.355	454
0.380	500	0.406	433
0.431	500	0.457	417
0.481	500	0.507	410
0.533	499	0.558	406
0.583	500	0.608	408
0.634	499	0.660	417
0.684	500	0.710	433
0.735	499	0.761	452
0.785	499	0.811	476
0.837	499	0.862	502
0.887	495	0.912	530
0.938	497	0.964	558
0.988	499	1.014	584
1.039	498	1.065	609
1.090	498	1.115	627
1.141	498	1.166	641
1.191	498	1.217	651
1.242	499	1.268	654
1.292	499	1.318	651
1.344	499	1.369	641
1.394	500	1.419	627
1.445	499	1.471	608
1.495	499	1.521	584
1.546	500	1.572	558
1.596	500	1.622	531
1.648	500	1.673	503
1.698	500	1.723	477
1.749	500	1.775	454
1.799	500	1.825	433
1.850	500	1.876	418
1.901	500	1.926	410
1.952	499	1.977	407
2.003	499	2.028	410
2.053	499	2.079	420
2.104	500	2.129	435
2.155	499	2.180	455
2.206	498	2.230	479
2.256	497	2.282	505
2.307	499	2.332	533
2.357	498	2.383	559
2.409	497	2.433	585
2.459	498	2.484	608
2.510	498	2.534	627
2.560	498	2.586	642
2.611	499	2.636	649
2.661	499	2.687	652
2.713	499	2.737	648
2.763	500	2.788	639
2.814	500	2.839	624
2.864	500	2.890	605
2.915	500	2.940	581
2.966	501	2.991	555
3.017	500	3.041	528
3.067	500	3.093	502
3.118	500	3.143	477
3.168	500	3.194	453
3.220	500	3.244	435
3.270	500	3.295	420
3.321	499	3.345	412
3.371	499	3.397	409
3.422	499	3.447	413
3.472	499	3.498	424
3.524	498	3.548	438
3.574	498	3.599	458
3.625	498	3.650	482
3.675	498	3.701	508
3.726	497	3.751	535
3.777	498	3.802	562
3.828	498	3.852	588
3.878	498	3.904	609
3.929	498	3.954	628
3.979	499	4.005	640
4.031	500	4.055	648
4.081	500	4.106	650
4.132	500	4.156	647
4.182	500	4.208	636
4.233	500	4.258	621
4.283	502	4.309	602
4.335	501	4.359	578
4.385	501	4.410	553
4.436	500	4.461	526
4.486	501	4.512	500
4.537	500	4.562	475
4.588	500	4.613	454
4.639	499	4.663	434
4.689	499	4.715	423
4.740	499	4.765	413
4.790	499	4.816	412
4.842	498	4.866	416
4.892	497	4.917	426
4.943	497	4.968	442
4.993	498	5.019	462
5.044	497	5.070	485
5.094	497	5.120	510
5.146	498	5.171	537
5.196	498	5.221	563
5.247	498	5.273	587
5.297	499	5.323	609
5.348	499	5.374	627
5.399	499	5.424	638
5.450	500	5.475	646
5.500	500	5.526	648
5.551	500	5.577	644
5.601	501	5.627	634
5.653	500	5.678	618
5.703	500	5.728	599
5.754	501	5.780	576
5.804	500	5.830	550
5.855	500	5.881	523
5.905	500	5.931	498
5.957	500	5.982	474
6.007	500	6.032	452
6.058	499	6.084	435
6.108	498	6.134	422
6.159	498	6.185	414
6.210	498	6.235	414
6.261	498	6.286	418
6.311	497	6.337	429
6.362	497	6.388	444
6.412	498	6.438	465
6.464	498	6.489	488
6.514	497	6.539	513
6.565	497	6.591	539
6.615	498	6.641	565
