#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	634	0.050	636
0.075	627	0.101	625
0.127	613	0.151	609
0.177	592	0.202	583
0.228	564	0.254	554
0.278	531	0.304	519
0.329	496	0.355	482
0.380	460	0.405	445
0.431	425	0.456	407
0.481	394	0.507	375
0.532	366	0.558	347
0.582	344	0.608	325
0.634	328	0.659	312
0.684	320	0.709	306
0.735	317	0.760	308
0.785	325	0.811	318
0.836	338	0.862	337
0.886	357	0.912	362
0.938	383	0.963	394
0.988	412	1.013	427
1.039	444	1.065	462
1.089	479	1.115	500
1.140	514	1.166	536
1.191	547	1.216	568
1.242	576	1.267	595
1.292	600	1.318	615
1.343	617	1.369	628
1.393	626	1.419	633
1.445	628	1.470	632
1.495	622	1.520	621
1.546	608	1.571	603
1.596	587	1.622	579
1.647	560	1.673	549
1.697	529	1.723	516
1.749	495	1.774	478
1.799	461	1.824	442
1.850	427	1.876	405
1.900	397	1.926	374
1.951	369	1.977	348
2.002	347	2.027	327
2.053	332	2.078	314
2.103	324	2.129	308
2.154	322	2.180	311
2.204	328	2.230	322
2.256	341	2.281	341
2.306	360	2.331	366
2.357	384	2.382	395
2.407	413	2.433	430
2.458	445	2.484	467
2.508	480	2.534	503
2.560	514	2.585	538
2.610	547	2.635	569
2.661	573	2.687	596
2.711	599	2.737	616
2.762	615	2.788	627
2.813	625	2.838	632
2.864	626	2.889	629
2.914	620	2.940	617
2.965	605	2.991	600
3.015	585	3.041	575
3.067	559	3.092	545
3.117	527	3.142	511
3.168	494	3.194	475
3.218	459	3.244	438
3.269	426	3.295	404
3.319	396	3.345	373
3.371	369	3.396	346
3.421	348	3.446	327
3.472	333	3.498	315
3.522	325	3.548	311
3.573	324	3.599	315
3.624	331	3.649	326
3.675	344	3.700	345
3.725	363	3.751	372
3.776	387	3.802	401
3.826	417	3.852	435
3.878	449	3.903	471
3.928	481	3.953	507
3.979	515	4.005	541
4.029	547	4.055	572
4.080	575	4.106	596
4.130	598	4.156	614
4.182	613	4.207	624
4.232	622	4.257	629
4.283	623	4.309	625
4.333	616	4.359	613
4.384	602	4.410	595
4.435	581	4.460	570
4.486	557	4.511	540
4.536	524	4.562	506
4.587	491	4.613	471
4.637	456	4.663	435
4.689	425	4.714	402
4.739	396	4.764	372
4.790	369	4.816	347
4.840	350	4.866	329
4.891	335	4.917	319
4.941	327	4.967	314
4.993	327	5.018	319
5.043	333	5.068	331
5.094	346	5.120	351
5.144	365	5.170	375
5.195	391	5.221	406
5.246	418	5.271	439
5.297	451	5.322	475
5.347	482	5.373	510
5.398	516	5.424	542
5.448	547	5.474	572
5.500	574	5.525	596
5.550	597	5.575	614
5.601	612	5.627	623
5.651	620	5.677	627
5.702	621	5.728	621
5.752	614	5.778	609
