#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 10:39:05 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	517	0.050	600
0.076	517	0.101	562
0.126	518	0.151	521
0.177	517	0.203	480
0.227	516	0.253	440
0.278	513	0.304	403
0.329	511	0.354	372
0.380	507	0.405	349
0.430	503	0.456	337
0.481	499	0.507	333
0.531	495	0.557	337
0.583	489	0.608	352
0.633	485	0.658	376
0.684	482	0.709	405
0.734	479	0.760	442
0.785	477	0.811	481
0.835	477	0.861	522
0.887	477	0.912	562
0.937	480	0.962	600
0.988	483	1.014	633
1.038	487	1.064	658
1.089	492	1.115	679
1.140	499	1.165	687
1.191	506	1.216	689
1.241	513	1.267	683
1.292	520	1.318	667
1.342	526	1.368	643
1.394	530	1.419	613
1.444	534	1.469	578
1.495	536	1.521	539
1.545	537	1.571	499
1.596	535	1.622	460
1.646	532	1.672	423
1.698	527	1.723	390
1.748	521	1.773	365
1.799	513	1.825	347
1.849	504	1.875	339
1.900	494	1.926	340
1.951	485	1.976	351
2.002	477	2.027	369
2.052	470	2.078	395
2.103	465	2.129	427
2.153	460	2.179	464
2.205	458	2.230	501
2.255	458	2.280	542
2.306	460	2.332	580
2.356	465	2.382	614
2.407	471	2.433	643
2.457	480	2.483	664
2.509	490	2.534	679
2.559	501	2.584	683
2.610	512	2.636	680
2.660	524	2.686	669
2.711	533	2.737	650
2.762	541	2.787	624
2.813	549	2.838	592
2.863	553	2.889	555
2.914	556	2.940	518
2.964	554	2.990	479
3.016	551	3.041	443
3.066	544	3.091	407
3.117	536	3.143	382
3.167	525	3.193	361
3.218	513	3.244	349
3.268	500	3.294	346
3.320	487	3.345	352
3.370	474	3.395	366
3.421	463	3.447	388
3.471	453	3.497	416
3.522	444	3.548	450
3.573	440	3.598	486
3.624	439	3.649	525
3.674	441	3.700	561
3.725	446	3.751	595
3.775	454	3.801	624
3.827	465	3.852	650
3.877	478	3.902	666
3.928	492	3.954	673
3.978	508	4.004	674
4.029	523	4.055	667
4.079	537	4.105	652
4.131	550	4.156	630
4.181	562	4.206	601
4.232	567	4.258	569
4.282	572	4.308	534
4.333	574	4.359	497
4.384	570	4.409	462
4.435	563	4.460	427
4.485	553	4.511	399
4.536	540	4.562	377
4.586	525	4.612	364
4.638	508	4.663	357
4.688	491	4.713	358
4.739	474	4.765	368
4.789	459	4.815	385
4.840	443	4.866	409
4.890	434	4.916	439
4.942	426	4.967	471
4.992	422	5.017	507
5.043	422	5.069	541
5.093	427	5.119	575
5.144	436	5.170	606
5.196	448	5.220	631
5.246	463	5.271	649
5.297	481	5.322	660
5.347	499	5.373	664
5.398	519	5.423	661
5.449	537	5.474	649
5.500	554	5.524	632
5.550	570	5.576	608
5.601	581	5.626	579
5.651	587	5.677	547
5.703	590	5.727	513
5.753	588	5.778	480
5.804	580	5.828	447
5.854	571	5.880	418
5.905	557	5.930	395
5.955	540	5.981	378
6.007	519	6.031	369
6.057	499	6.082	367
6.108	478	6.133	373
6.158	458	6.184	386
6.209	441	6.234	405
6.260	426	6.285	431
6.311	414	6.335	460
6.361	407	6.387	492
6.412	406	6.437	525
6.462	409	6.488	556
6.514	417	6.538	586
6.564	430	6.589	611
6.615	447	6.639	631
6.665	467	6.691	645
6.716	488	6.741	651
6.766	511	6.792	652
6.818	532	6.842	644
6.868	553	6.893	630
6.919	573	6.944	610
6.969	588	6.995	584
7.020	599	7.045	558
7.071	605	7.096	527
7.122	604	7.146	496
7.172	599	7.198	465
7.223	589	7.248	438
7.273	574	7.299	414
7.325	555	7.349	396
7.375	534	7.400	385
7.426	509	7.450	380
7.476	485	7.502	382
7.527	460	7.552	391
7.577	440	7.603	406
7.629	421	7.653	427
7.679	406	7.704	452
7.730	397	7.755	480
7.780	392	7.806	510
7.831	393	7.856	539
7.882	400	7.907	566
7.933	413	7.957	592
7.983	430	8.009	612
8.034	451	8.059	626
8.084	475	8.110	636
8.136	501	8.160	638
8.186	525	8.211	636
8.237	552	8.261	625
8.287	574	8.313	609
8.338	590	8.364	590
8.388	607	8.414	565
8.440	615	8.465	539
8.490	618	8.515	510
8.541	616	8.567	483
8.591	606	8.617	454
8.642	592	8.668	434
8.693	572	8.718	416
8.744	549	8.769	403
8.794	523	8.820	395
8.845	496	8.871	394
8.895	468	8.921	399
8.947	443	8.972	411
8.997	420	9.022	427
9.048	402	9.074	448
9.098	389	9.124	472
9.149	381	9.175	498
9.199	379	9.225	524
9.251	384	9.276	550
9.301	396	9.326	573
9.352	412	9.378	592
9.402	434	9.428	608
9.453	459	9.479	618
9.504	487	9.529	624
9.555	516	9.580	623
9.605	545	9.631	617
9.656	570	9.682	606
9.706	593	9.732	589
9.758	611	9.783	570
9.808	624	9.833	547
9.859	629	9.885	523
9.909	629	9.935	499
9.960	622	9.986	476
10.010	608	10.036	453
10.062	589	10.087	436
10.112	566	10.137	422
10.163	537	10.189	413
10.213	509	10.239	410
10.264	478	10.290	412
10.315	450	10.340	419
10.366	424	10.391	431
10.416	400	10.442	448
10.467	384	10.493	467
10.517	373	10.543	489
10.569	368	10.594	512
10.619	371	10.644	534
10.670	380	10.696	555
10.720	396	10.746	575
10.771	417	10.797	589
10.821	443	10.847	600
10.873	472	10.898	607
10.923	503	10.948	608
10.974	534	11.000	605
11.024	563	11.050	598
11.075	589	11.101	585
11.126	611	11.151	570
11.177	627	11.202	552
11.227	637	11.253	531
11.278	640	11.304	511
11.328	635	11.354	490
11.380	623	11.405	471
11.430	605	11.455	455
11.481	582	11.507	442
11.531	554	11.557	433
11.582	524	11.608	428
11.633	492	11.658	427
11.684	460	11.709	431
11.734	431	11.759	440
11.785	404	11.811	451
11.835	383	11.861	466
11.886	370	11.912	484
11.937	361	11.962	502
11.988	360	12.013	521
12.038	367	12.064	539
12.089	381	12.115	556
12.139	401	12.165	571
12.191	427	12.216	582
12.241	456	12.266	587
12.292	489	12.318	592
12.342	521	12.368	591
12.393	553	12.419	587
12.444	582	12.469	578
12.495	608	12.520	567
12.545	628	12.570	554
12.596	640	12.622	537
12.646	647	12.672	521
12.697	646	12.723	504
12.748	636	12.773	487
12.799	620	12.824	472
12.850	598	12.875	461
12.900	570	12.926	451
12.951	539	12.976	446
13.002	506	13.027	443
13.053	472	13.077	445
13.103	440	13.129	450
13.154	412	13.179	459
13.204	387	13.230	470
13.256	369	13.280	483
13.306	358	13.331	497
13.357	353	13.381	512
13.407	357	13.433	527
13.458	368	13.483	541
13.508	387	13.534	553
13.560	411	13.584	563
13.610	441	13.635	571
13.661	473	13.686	574
13.711	508	13.737	575
13.762	541	13.787	572
13.813	573	13.838	568
13.864	601	13.888	560
13.914	623	13.940	550
13.965	642	13.990	539
14.015	650	14.041	527
14.067	652	14.091	513
14.117	646	14.142	501
14.168	633	14.193	489
14.218	612	14.244	480
14.269	586	14.294	470
14.319	555	14.345	465
14.371	522	14.395	462
14.421	486	14.446	462
14.472	453	14.497	464
14.522	419	14.548	469
14.573	393	14.598	477
14.624	371	14.649	485
14.675	358	14.699	494
14.725	349	14.751	506
14.776	350	14.801	516
14.826	359	14.852	527
14.878	374	14.902	537
14.928	397	14.953	544
14.979	425	15.004	551
15.029	457	15.055	556
15.080	492	15.105	557
15.130	527	15.156	558
15.182	559	15.206	555
15.232	591	15.257	550
15.283	617	15.308	545
15.333	639	15.359	537
15.384	651	15.409	529
15.435	656	15.460	520
15.486	653	15.510	512
15.536	643	15.562	503
15.587	624	15.612	495
15.637	600	15.663	489
15.689	570	15.713	484
15.739	536	15.764	480
15.790	500	15.815	479
15.840	465	15.866	479
15.891	432	15.917	481
15.941	402	15.967	486
15.993	378	16.018	491
16.043	360	16.068	497
16.094	350	16.120	504
16.144	348	16.170	512
16.195	352	16.221	518
16.246	366	16.271	523
16.297	385	16.322	530
16.347	412	16.373	532
16.398	442	16.424	537
16.448	477	16.474	539
16.500	512	16.525	540
16.550	547	16.575	540
16.601	579	16.627	538
16.651	609	16.677	535
16.702	632	16.728	532
16.753	647	16.778	527
16.804	656	16.829	522
16.854	657	16.879	519
16.905	649	16.931	513
16.955	634	16.981	511
17.006	612	17.032	505
17.057	584	17.082	501
17.108	552	17.133	499
17.158	517	17.184	498
17.209	482	17.235	497
17.259	447	17.285	497
17.311	415	17.336	498
17.361	387	17.386	499
17.412	367	17.438	503
17.462	352	17.488	505
17.513	347	17.539	507
17.564	348	17.589	510
17.615	358	17.640	513
17.665	375	17.690	514
17.716	400	17.742	519
17.766	429	17.792	519
17.817	461	17.843	521
17.868	497	17.893	523
17.919	532	17.944	523
17.969	567	17.995	524
18.020	597	18.046	524
18.070	622	18.096	523
18.122	642	18.147	523
18.172	653	18.197	522
18.223	656	18.249	521
18.273	653	18.299	520
18.324	641	18.350	519
18.375	622	18.400	519
18.426	596	18.451	517
18.476	566	18.501	516
18.527	532	18.553	515
18.577	497	18.603	514
18.628	462	18.654	513
18.679	429	18.704	512
18.730	400	18.755	511
18.780	376	18.806	510
18.831	359	18.857	509
18.881	351	18.907	508
18.933	348	18.958	507
18.983	355	19.008	506
19.034	369	19.060	505
19.084	389	19.110	505
19.135	416	19.161	505
19.186	447	19.211	505
19.237	482	19.262	504
19.287	516	19.313	507
19.338	552	19.364	508
19.388	582	19.414	510
19.439	610	19.465	513
19.490	631	19.515	516
19.541	646	19.566	519
19.592	653	19.617	523
19.642	652	19.668	525
19.693	644	19.718	527
19.744	628	19.769	528
19.795	605	19.819	531
19.845	577	19.871	531
19.896	546	19.921	531
19.946	512	19.972	530
19.998	478	20.022	529
20.048	444	20.073	527
20.099	411	20.124	523
20.149	388	20.175	520
20.200	368	20.225	515
20.250	357	20.276	509
20.302	351	20.326	504
20.352	353	20.377	501
20.403	364	20.428	495
20.453	381	20.479	492
20.504	404	20.529	490
20.555	434	20.580	487
20.606	466	20.630	488
20.656	499	20.682	490
20.707	534	20.732	492
20.757	566	20.783	496
20.809	596	20.833	500
20.859	620	20.884	508
20.910	637	20.935	513
20.960	647	20.986	520
21.011	650	21.036	527
21.061	645	21.087	532
21.113	633	21.137	538
21.163	614	21.188	542
21.214	588	21.239	545
21.264	559	21.290	547
21.315	527	21.340	547
21.366	493	21.391	545
21.417	460	21.441	542
21.467	429	21.493	537
21.518	403	21.543	532
21.568	381	21.594	524
21.620	366	21.644	517
21.670	358	21.695	508
21.721	357	21.746	500
21.771	365	21.797	491
21.822	380	21.847	486
21.873	399	21.898	481
21.924	425	21.948	476
21.974	455	21.999	474
22.025	487	22.050	474
22.075	519	22.101	476
22.126	551	22.151	481
22.177	580	22.202	487
22.228	606	22.252	494
22.278	624	22.304	503
22.329	636	22.354	513
22.379	643	22.405	523
22.431	641	22.455	533
22.481	632	22.506	543
22.532	617	22.557	549
22.582	595	22.608	556
22.633	569	22.659	560
22.684	538	22.709	561
22.735	507	22.760	561
22.785	477	22.810	558
22.836	446	22.862	553
22.886	418	22.912	546
22.937	395	22.963	535
22.988	379	23.013	524
23.039	368	23.064	515
23.089	364	23.115	502
23.140	368	23.166	491
23.190	378	23.216	480
23.242	395	23.267	472
23.292	417	23.317	465
23.343	445	23.369	461
23.393	474	23.419	460
23.444	505	23.470	461
23.495	535	23.520	465
23.546	565	23.571	473
23.596	589	23.621	482
23.647	610	23.673	493
23.697	626	23.723	504
23.748	633	23.774	519
23.799	635	23.824	532
23.850	629	23.875	543
23.900	617	23.926	556
23.951	599	23.977	563
24.001	576	24.027	570
24.053	549	24.078	574
24.103	521	24.128	575
24.154	490	24.180	573
24.204	461	24.230	567
24.255	432	24.281	558
24.306	410	24.331	547
24.357	392	24.382	534
24.407	380	24.433	519
24.458	374	24.484	506
24.508	374	24.534	492
24.559	381	24.585	479
24.610	395	24.635	466
24.661	413	24.686	457
24.711	437	24.737	450
24.762	464	24.788	447
24.812	492	24.838	446
24.864	522	24.889	451
24.914	550	24.939	458
24.965	574	24.991	468
25.015	594	25.041	480
25.066	610	25.092	496
25.117	621	25.142	512
25.168	625	25.193	527
25.218	623	25.244	543
25.269	614	25.295	557
25.319	599	25.345	570
25.370	580	25.396	578
25.421	556	25.446	584
25.472	531	25.497	587
25.522	503	25.548	586
25.573	474	25.599	581
25.623	450	25.649	572
25.675	426	25.700	560
25.725	408	25.750	546
25.776	394	25.802	529
25.826	386	25.852	513
25.877	384	25.903	497
25.928	388	25.953	479
25.979	398	26.004	464
26.029	413	26.055	451
26.080	433	26.106	442
26.130	456	26.156	435
26.181	482	26.207	434
26.232	507	26.257	437
26.283	534	26.308	443
26.333	558	26.359	454
26.384	578	26.410	467
26.434	595	26.460	483
26.486	607	26.511	501
26.536	613	26.561	520
26.587	613	26.613	538
26.637	608	26.663	556
26.688	595	26.714	571
26.739	580	26.764	583
26.790	560	26.815	593
26.840	539	26.866	597
26.891	514	26.917	598
26.941	488	26.967	594
26.993	465	27.018	586
27.043	443	27.068	574
27.094	424	27.119	559
27.144	410	27.170	540
27.195	400	27.221	522
27.245	395	27.271	501
27.297	397	27.322	482
27.347	403	27.372	464
27.398	415	27.424	449
27.448	433	27.474	436
27.499	451	27.525	428
27.550	474	27.575	423
27.601	496	27.626	424
27.651	521	27.677	430
27.702	543	27.728	440
27.752	563	27.778	453
27.804	579	27.829	471
27.854	592	27.879	490
27.905	599	27.930	511
27.955	601	27.981	530
28.006	599	28.032	552
28.056	591	28.082	571
28.108	579	28.133	586
28.158	563	28.183	597
28.209	542	28.235	606
28.259	522	28.285	607
28.310	501	28.336	605
28.361	479	28.386	599
28.412	458	28.437	588
28.462	440	28.488	573
28.513	425	28.539	554
28.563	416	28.589	533
28.615	410	28.640	511
28.665	408	28.690	489
28.716	412	28.741	468
28.766	421	28.792	449
28.817	433	28.843	434
28.867	450	28.893	422
28.919	468	28.944	415
28.969	488	28.994	414
29.020	509	29.046	417
29.070	530	29.096	426
29.121	547	29.147	440
29.172	563	29.197	458
29.223	575	29.248	477
29.273	584	29.299	500
29.324	588	29.350	525
29.374	588	29.400	545
29.426	582	29.451	566
29.476	574	29.501	585
29.527	561	29.553	599
29.577	546	29.603	610
29.628	528	29.654	615
29.678	510	29.704	615
29.730	490	29.755	610
29.780	472	29.805	599
29.831	456	29.857	585
29.881	442	29.907	568
29.932	431	29.958	545
29.983	425	30.008	521
30.034	422	30.059	496
30.084	424	30.110	475
30.135	429	30.161	453
30.185	439	30.211	434
30.237	451	30.262	420
30.287	465	30.312	410
30.338	482	30.364	406
30.388	501	30.414	407
30.439	517	30.465	415
30.489	533	30.515	428
30.541	548	30.566	444
30.591	559	30.616	465
30.642	568	30.668	488
30.692	573	30.718	512
30.743	574	30.769	537
30.794	572	30.819	560
30.845	566	30.870	582
30.895	556	30.921	599
30.946	544	30.972	612
30.996	531	31.022	620
31.048	515	31.073	622
31.098	499	31.123	619
31.149	484	31.175	610
31.199	470	31.225	596
31.250	457	31.276	579
31.300	448	31.326	557
31.352	441	31.377	533
31.402	437	31.427	507
31.453	437	31.479	482
31.503	440	31.529	459
31.554	446	31.580	438
31.605	456	31.630	420
31.656	468	31.681	408
31.706	480	31.732	401
31.757	494	31.783	400
31.807	507	31.833	405
31.859	521	31.884	416
31.909	534	31.934	432
31.960	544	31.986	452
32.010	552	32.036	474
32.061	557	32.087	501
32.111	559	32.137	526
32.163	558	32.188	552
32.214	555	32.238	575
32.264	548	32.290	595
32.315	540	32.340	611
32.365	529	32.391	622
32.417	518	32.441	627
32.467	505	32.492	626
32.518	493	32.543	620
32.568	482	32.594	606
32.619	471	32.644	589
32.670	463	32.695	569
32.721	457	32.745	545
32.771	453	32.797	519
32.822	452	32.847	492
32.872	452	32.898	467
32.924	456	32.948	444
32.974	463	32.999	424
33.025	471	33.049	409
33.075	480	33.101	399
33.126	490	33.151	396
33.176	501	33.202	398
33.228	511	33.252	406
33.278	521	33.303	421
33.329	529	33.354	441
33.379	536	33.405	463
33.430	541	33.455	489
33.481	543	33.506	515
33.532	544	33.556	542
33.582	543	33.608	567
33.633	539	33.658	590
33.683	533	33.709	607
33.735	526	33.759	621
33.785	518	33.810	628
33.836	509	33.860	630
33.886	501	33.912	626
33.937	492	33.962	616
33.987	484	34.013	599
34.039	478	34.063	581
34.089	473	34.114	556
34.140	469	34.165	530
34.190	467	34.216	503
34.241	468	34.266	477
34.292	470	34.317	452
34.343	473	34.367	430
34.393	478	34.419	413
34.444	484	34.469	400
34.494	490	34.520	393
34.546	498	34.570	394
34.596	504	34.621	401
34.647	511	34.671	411
34.697	517	34.723	429
34.748	522	34.773	452
34.798	526	34.824	476
34.850	528	34.874	503
34.900	528	34.925	531
34.951	528	34.976	557
35.001	524	35.027	581
35.052	523	35.077	601
35.103	519	35.128	617
35.154	515	35.179	627
35.204	510	35.230	632
35.255	504	35.281	630
35.305	499	35.331	623
35.357	495	35.382	609
35.407	490	35.432	591
35.458	487	35.484	568
35.508	485	35.534	543
35.559	483	35.585	514
35.609	482	35.635	488
35.661	484	35.686	462
35.711	486	35.736	438
35.762	488	35.788	418
35.812	491	35.838	404
35.863	493	35.889	395
35.914	497	35.939	392
35.965	500	35.990	395
36.015	503	36.041	405
36.066	506	36.092	421
36.116	509	36.142	440
36.168	511	36.193	465
36.218	512	36.243	491
36.269	513	36.295	519
36.319	513	36.345	546
36.370	514	36.396	571
36.420	511	36.446	593
36.472	511	36.497	611
36.522	508	36.547	624
36.573	506	36.599	631
36.623	504	36.649	632
36.674	503	36.700	625
36.725	501	36.750	615
36.776	500	36.801	599
36.826	500	36.852	577
36.877	499	36.903	554
36.927	498	36.953	527
36.979	498	37.004	500
37.029	498	37.054	473
37.080	498	37.106	448
37.130	498	37.156	427
37.181	500	37.207	410
37.231	499	37.257	399
37.283	500	37.308	394
37.333	500	37.358	394
37.384	499	37.410	402
37.434	500	37.460	414
37.485	499	37.511	432
37.536	499	37.561	454
37.587	498	37.612	481
37.637	499	37.663	506
37.688	499	37.714	534
37.738	499	37.764	560
